County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	Early Voting	Absentee by Mail	Provisional	Total Votes	Real Precinct
CARTERET	11/04/2025	PELE	17	C	TOWN OF PELETIER TOWN COUNCIL	Write-In (Miscellaneous)		3	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	8	C	MOREHEAD CITY MAYOR	Jerry Jones	 	1	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	8	C	MOREHEAD CITY MAYOR	Lee Anthony Stiles	 	1	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	8	C	MOREHEAD CITY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	9	C	MOREHEAD CITY COUNCIL MEMBER	George W. Ballou	 	2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	9	C	MOREHEAD CITY COUNCIL MEMBER	Harvey Walker	 	2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	9	C	MOREHEAD CITY COUNCIL MEMBER	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	10	C	TOWN OF NEWPORT MAYOR	Dennis R. Barber	 	1	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	10	C	TOWN OF NEWPORT MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	11	C	TOWN OF NEWPORT COUNCIL MEMBER	Cathy Tomon	 	2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	11	C	TOWN OF NEWPORT COUNCIL MEMBER	Jeff Shultz, Jr.	 	2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	11	C	TOWN OF NEWPORT COUNCIL MEMBER	John Sotirkys	 	2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	11	C	TOWN OF NEWPORT COUNCIL MEMBER	Mark D. Eadie	 	2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	11	C	TOWN OF NEWPORT COUNCIL MEMBER	Tristan Thomas	 	2	0	0	0	0	0	Y
CARTERET	11/04/2025	WILD	11	C	TOWN OF NEWPORT COUNCIL MEMBER	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CASWELL	11/04/2025	YANC	1	C	TOWN OF YANCEYVILLE TOWN COUNCIL	Brian R. Massey	 	2	0	0	0	0	0	Y
CASWELL	11/04/2025	YANC	1	C	TOWN OF YANCEYVILLE TOWN COUNCIL	Keith Tatum	 	2	0	0	0	0	0	Y
CASWELL	11/04/2025	YANC	1	C	TOWN OF YANCEYVILLE TOWN COUNCIL	Stephanie Williamson	 	2	0	0	0	0	0	Y
CASWELL	11/04/2025	YANC	1	C	TOWN OF YANCEYVILLE TOWN COUNCIL	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	1	C	TOWN OF BROOKFORD MAYOR	Bill McGregor	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	1	C	TOWN OF BROOKFORD MAYOR	Thomas Schronce	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	1	C	TOWN OF BROOKFORD MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	2	C	TOWN OF BROOKFORD ALDERMEN	Charles Allen Bargsley, Jr.	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	2	C	TOWN OF BROOKFORD ALDERMEN	Eric Biter	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	2	C	TOWN OF BROOKFORD ALDERMEN	Helen (Cooki) Turner	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	2	C	TOWN OF BROOKFORD ALDERMEN	Kelvin Gregory	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	2	C	TOWN OF BROOKFORD ALDERMEN	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	04	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
